Disease,Description
Diabetes,مرض السكري ، المعروف أيضًا باسم داء السكري ، هو مجموعة من أمراض الغدد الصماء الشائعة التي تتميز بارتفاع مستمر في مستويات السكر في الدم. يؤدي تركه دون علاج إلى العديد من المضاعفات الصحية. 
Prediabetes,مقدمات السكري هي أحد مكونات متلازمة التمثيل الغذائي وتتميز بارتفاع مستويات السكر في الدم التي تقل عن الحد الأدنى لتشخيص داء السكري.عادة لا تسبب أعراضًا ولكن الأشخاص الذين يعانون من مقدمات السكري غالبًا ما يعانون من السمنة (خاصة السمنة البطنية أو الحشوية) ، اضطراب شحميات الدم مع ارتفاع الدهون الثلاثية و / أو انخفاض نسبة الكوليسترول الحميد ، وارتفاع ضغط الدم ، كما أنه يرتبط بزيادة مخاطر الإصابة بأمراض القلب والأوعية الدموية  .
Hypoglycemia,نقص سكر الدم، ويسمى أيضًا هبوط سكر الدم، هو انخفاض في نسبة السكر في الدم إلى مستويات أقل من المعتاد، عادة ما تكون أقل من 70 ملغ/ديسيلتر (3.9 مليمول/لتر) يستخدم ثالوث ويبل لتحديد نوبات نقص السكر في الدم بشكل صحيح يتم تعريفه على أنه جلوكوز الدم أقل من 70 ملغ/ديسيلتر (3.9 مليمول/لتر)، قد يؤدي نقص السكر في الدم إلى صداع، تعب، خراقة، صعوبة التحدث، ارتباك، تسارع معدل ضربات القلب، تعرق، رجفان، عصبية، جوع، فقدان الوعي، نوبات أو وفاة. 
Jaundice,اليرقان (بالإنجليزية: Jaundice)‏، المعروف أيضًا بالصفار، أو الاصفرار، هو تصبغ مصفر أو مخضر للجلد وبياض العين بسبب ارتفاع مستويات البيليروبين اليرقان عند البالغين هو عادة علامة تشير إلى وجود أمراض كامنة تنطوي على استقلاب الهيم غير الطبيعي، ضعف الكبد أو انسداد القناة الصفراوية انتشار اليرقان لدى البالغين أمر نادر الحدوث، في حين أن اليرقان عند الأطفال شائع، حيث يتأثر ما يقدر بنحو 80٪ خلال الأسبوع الأول من حياتهم.
Chronic Myelogenous Leukemia,"ابيضاض الدم النقوي المزمن (Chronic myelogenous leukemia) ، والمعروف أيضًا باسم ابيضاض الدم النخاعي المزمن ، هو أحد أشكال سرطان الدم الذي يتميز بالنمو المتزايد وغير المنظم للخلايا النخاعية في نخاع العظام وتراكم هذه الخلايا في خلايا الدم البيضاء. سرطان الدم النخاعي المزمن هو اضطراب في الخلايا الجذعية لنخاع العظم نسيلي يتم فيه العثور على تكاثر الخلايا الحبيبية الناضجة (neutrophils, eosinophils, basophils) وهو نوع من الأورام التكاثرية النخاعية المرتبطة بنقل كروموسومي مميز يسمى كروموسوم فيلادلفيا.
يتم علاج سرطان الدم النخاعي المزمن إلى حد كبير بأدوية موجهة تسمى مثبطات التيروزين كيناز (tyrosine kinase inhibitors) والتي أدت إلى تحسن كبير في معدلات البقاء على قيد الحياة على المدى الطويل منذ عام 2001. "
Acute Lymphoblastic Leukemia,ابيضاض الدم الليمفاوي الحاد (Acute lymphoblastic leukemia) هو سرطان يصيب الخط اللمفاوي لخلايا الدم ويتميز بتطور أعداد كبيرة من الخلايا الليمفاوية غير الناضجة وقد تشمل الأعراض الشعور بالتعب أو شحوب لون الجلد أو الحمى أو سهولة النزف أو الكدمات أو تضخم الغدد الليمفاوية أو آلام العظام يتطور ابيضاض الدم الحاد (Acute lymphoblastic leukemia) بسرعة ، وعادة ما يكون قاتلاً في غضون أسابيع أو شهور إذا تُرك دون علاج ، وفي معظم الحالات يكون السبب غير معروف. 
Prostatic Cancer,سرطان البروستاتا هو ثاني أكثر الأورام السرطانية شيوعًا في جميع أنحاء العالم وهو خامس سبب رئيسي للوفيات المرتبطة بالسرطان بين الرجال. البروستاتا هي غدة في الجهاز التناسلي الذكري تحيط بالإحليل أسفل المثانة مباشرةً. معظم سرطانات البروستاتا بطيئة النمو قد تنتشر الخلايا السرطانية إلى مناطق أخرى من الجسم ، وخاصة العظام والغدد الليمفاوية وقد لا تسبب أعراضًا في البداية.. 
Normal Anemia,يعد فقر الدم الطبيعي من أكثر أشكال فقر الدم شيوعًا. فقر الدم هو حالة لا يوجد فيها ما يكفي من خلايا الدم الحمراء لتوفير الأكسجين الكافي لأعضائك والأنسجة الأخرى ، مع بعض أنواع فقر الدم ، يتغير شكل أو حجم خلايا الدم الحمراء ، مما يساعد الأطباء على تشخيص الحالة. إذا كنت تعاني من فقر الدم الطبيعي ، فإن خلايا الدم الحمراء طبيعية في الشكل والحجم. ومع ذلك ، فإن الحالة تعني أنه لا يزال لديك مستويات كافية من خلايا الدم الحمراء المنتشرة لتلبية احتياجات جسمك. يصاب معظم الناس بفقر الدم السوي الخلوي لأنهم يعانون من مرض مزمن كامن. إنها مشكلة شائعة تحدث للرجال والنساء الذين تزيد أعمارهم عن 85 عامًا.
Macrocytic Anemia,"macrocytic anemia هو فقر الدم (يُعرَّف بأنه الدم الذي يحتوي على تركيز غير كافٍ من الهيموجلوبين) حيث تكون خلايا الدم الحمراء (كرات الدم الحمراء) أكبر من حجمها الطبيعي.
في macrocytic anemia ، ترتبط الخلايا الحمراء الكبيرة دائمًا بعدد غير كافٍ من الخلايا وغالبًا أيضًا محتوى غير كافٍ من الهيموجلوبين لكل خلية يعمل كلا العاملين على التأثير المعاكس لحجم الخلية الأكبر ، مما يؤدي في النهاية إلى تركيز إجمالي للهيموجلوبين في الدم يكون أقل من الطبيعي (أي فقر الدم).
."
Microcytic Anemia,Microcytic Anemia هو أي نوع من أنواع فقر الدم العديدة التي تتميز بوجود خلايا دم حمراء أصغر من الطبيعي (تسمى Microcytic Anemia) متوسط ​​حجم الجسم العضلي الطبيعي (MCV) هو ما يقرب من 80-100 فلولتر .اقل من 80 فلولتر تكون Microcytic Anemia وعندما> 100 فلولتر ، تكون Macrocytic Anemia (هذا الأخير يحدث في Macrocytic Anemia فقر الدم).
Hyperthyroidism,فرط نشاط الغدة الدرقية هو حالة تحدث بسبب فرط إفراز هرمونات الغدة الدرقية من الغدة الدرقية. التسمم الدرقي هو الحالة التي تحدث بسبب فرط هرمون الغدة الدرقية لأي سبب ، وبالتالي تشمل فرط نشاط الغدة الدرقية. تختلف العلامات والأعراض بين الأشخاص وقد تشمل التهيج وضعف العضلات والنوم المشاكل وسرعة ضربات القلب وعدم تحمل الحرارة والإسهال وتضخم الغدة الدرقية ورعاش اليد وفقدان الوزن تكون الأعراض عادة أقل حدة عند كبار السن وأثناء الحمل .
Hypothyroidism,قصور الغدة الدرقية (يسمى أيضًا خمول الغدة الدرقية أو انخفاض الغدة الدرقية أو قصور الغدة الدرقية) هو اضطراب في نظام الغدد الصماء حيث لا تنتج الغدة الدرقية ما يكفي من هرمون الغدة الدرقية.يمكن أن يسبب عددًا من الأعراض ، مثل ضعف القدرة على تحمل البرد والشعور بالتعب ، والإمساك ، وبطء معدل ضربات القلب ، والاكتئاب ، وزيادة الوزن في بعض الأحيان قد يكون هناك تورم في الجزء الأمامي من الرقبة بسبب تضخم الغدة الدرقية. في جميع أنحاء العالم ، يعتبر نقص اليود في النظام الغذائي هو السبب الأكثر شيوعًا لقصور الغدة الدرقية. يعد التهاب الغدة الدرقية هاشيموتو هو السبب الأكثر شيوعًا لقصور الغدة الدرقية في البلدان التي تحتوي على كمية كافية من اليود. .
Rheumatoid Arthritis,التهاب المفاصل الروماتويدي (Rheumatoid Arthritis) هو اضطراب مناعي طويل الأمد يؤثر بشكل أساسي على المفاصل ، وعادة ما ينتج عنه تورم وألم في المفاصل. جوانب الجسم قد يؤثر المرض أيضًا على أجزاء أخرى من الجسم ، بما في ذلك الجلد والعينين والرئتين والقلب والأعصاب والدم ، وقد يؤدي ذلك إلى انخفاض عدد خلايا الدم الحمراء والتهاب حول الرئتين والتهاب حول القلب.
Hyperuricemia (Gout),فرط حمض يوريك الدم هو ارتفاع في مستوى حمض اليوريك في الدم إلى مستويات غير طبيعية عند الإنسان ، حيث يكون المعدل الطبيعي 360 ميكرو مول / لتر (6 مجم / ديسيلتر) للنساء و 400 ميكرو مول / لتر (6.8 مجم / ديسيلتر). ) للرجال. تعتمد كمية اليورات في الجسم على التوازن بين كمية البيورينات التي يتم تناولها في الطعام ، وكمية البول التي يتم تصنيعها داخل الجسم (على سبيل المثال ، من خلال دوران الخلايا) ، وكمية البول التي تفرز في البول أو من خلال الجهاز الهضمي قد يكون فرط حمض يوريك الدم في السبيل ناتجًا عن زيادة إنتاج حمض اليوريك ، أو انخفاض إفراز حمض اليوريك ، أو زيادة الإنتاج وانخفاض الإخراج.
Hypouricemia,نقص حمض يوريك الدم (بالإنجليزية: Hypouricemia) هو وجود حمض اليوريك في مصل الدم بمستوى أقل من الطبيعي نقص حمض اليوريك في الدم هو عادة أمر بسيط، ولكن أحيانا يكون علامة على حالة مرضية.
Hyperparathyroidism,"فرط نشاط جارات الدرقية هو زيادة مستويات الهرمون الجار درقي (PTH) في الدم يحدث ذلك إما نتيجة زيادة إفراز الغدد جارات الدرقية للهرمون بشكل مبالغ فيه (فرط نشاط جارات الدرقية الأولي) أو بسبب أحداث أخرى تحفز زيادة إنتاج الغدد (فرط نشاط جارات الدرقية الثانوي) لا يعاني أغلب مرضى المرض الأولي من أعراض في وقت التشحيص أما أولئك الذين يعانون من أعراض، فإن حصوات الكلى هي الأكثر شيوعًا بالإضافة لأعراض أخرى محتملة تشمل الضعف، والاكتئاب، وآلام العظام، والارتباك، وزيادة التبول يزيد كلا النوعين من خطورة حدوث هشاشة العظام.
يرجع فرط نشاط جارات الدرقية الأولي في 80% من الحالات إلى ورم حميد واحد يسمى ورم جار الدرقية الحميد (parathyroid adenoma) فيما ترجع أغلب الحالات المتبقية لعدة أورام حميدة ."
Hypoparathyroidism,قصور جارات الدرقية أو قصور نظيرة الدرقية أو قصور الدُرَيْقات (بالإنجليزية: hypoparathyroidism)‏ هو قصور وظيفة الغدد جارات الدرقية مع نقص إنتاج الهرمون جار الدرقي(PTH)  يمكن أن يؤدي هذا النقص إلى انخفاض مستويات الكالسيوم في الدم، وغالبًا ما يتسبب بشد عضلي وتشنجها أو التكزز (تقلص العضلات اللاإرادي)، والعديد من الأعراض الأخرى يمكن أن تكون الحالة موروثة، وقد تحدث أيضًا بعد جراحة الغدة الدرقية أو الغدد جارات الدرقية، ويمكن أن تنتج أيضًا عن الأذيات المتعلقة بالجهاز المناعي بالإضافة إلى عدد من الأسباب النادرة يشخص القصور عن طريق اختبارات الدم، وغيرها من الفحوصات مثل الفحوص الجينية بناء على النتائج يعد علاج قصور الغدد جارات الدرق محدودًا نظرًا لعدم وجود شكل محدد من الهرمون يمكن إعطاؤه كتعويض .
Acute Lymphoblastic Lekumia and Chronic Myelogenous Lekumia,هذا يعني وجود خلل في رينجات الخاصة ب تحليل صورة الدم الكاملة (CBC) الخاص بك و هذا الخلل بيان عن احتمالية وجود نوع من أنواع سرطان الدم في جسمك .
Another Disease,هذا لا يستوجب وجود  مرض بعينه لكن هو مجرد دليل أو بيان أن هناك خلل في رينجات ال PTH و ال Calcium و ال Phosphorus و هذه المشكلة ليست ب نشاط في الغدة جار درقية أو  خمول في الغدة جار درقية
Other Thyroid Abnormalities,هذا ليس مرضا لكن المقصود بالتشوهات في الغدة الدرقية أن هناك مشكلة في الغدة الدرقية و من خلال رينجات ال FT3 أو ال TSH او ال FT4 و هذة  المشكلة ليست  نشاط  في الغدة الدرقية أو خمول في الغدة الدرقية .
