Predication Name,Correct Name,
Anemia,Normal Anemia,
Macro,Macrocytic Anemia,
Micro,Microcytic Anemia,
Good,Normal,
Hypothyroid,Hypothyroidism,
HyperTyroid,Hyperthyroidism,
Other Thyroid Abnormalities,Other Thyroid Abnormalities,
Normal,Normal,
Hyperuricosuria (Gout),Hyperuricemia (Gout),
Hypouricosuria ,Hypouricemia,
Hypoparathyroid,Hypoparathyroidism,
Hyperparathyroid,Hyperparathyroidism,
Another Disease,Another Disease,
AcuteL or CML,Acute Lymphoblastic Lekumia and Chronic Myelogenous Lekumia,
CML,Chronic Myelogenous Leukemia,
Acute L,Acute Lymphoblastic Leukemia,
Diabetic,Diabetes,
Pre Diabetic,Prediabetes,
Hypoglycemia,Hypoglycemia,
Rheumatiod_Arthities,Rheumatoid Arthritis,
Jaundice,Jaundice,
Prostatic_Cancer,Prostatic Cancer,
,,
